SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,PaymentMethod_1,PaymentMethod_2,PaymentMethod_3,Contract_1,Contract_2,InternetService_1,InternetService_2
0.0,1.0,0.0,-1.2802480369298872,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.161693935245169,-0.9941940877241977,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.06430268518835205,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.2608779199297496,-0.17373981825040702,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.2395040756535771,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.3639232943754247,-0.9596491092068434,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.5124862592277651,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.7478504152939893,-0.19524770717404716,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.2395040756535771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19617817640187457,-0.94045745447498,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,-0.9950403079957154,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.1584890119510034,-0.645369218442638,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,-0.4246248501273713,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8078023344020115,-0.14731268909089845,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,-0.9135523854430948,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1650179795821263,-0.8741690378436584,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,-0.18016108246950963,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.3296772953043026,0.33651554451135585,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,1.20513360092504,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.28747027462540775,0.5314762853391826,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,1.0,-0.7913205016141639,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.4935610235167582,-0.7481879571842651,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.6690886177852331,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,-1.524014767973511,-0.8631834699626607,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0421577558197987,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.181757322309704,1.4990665744239264,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.675462104333006,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.293112807597773,1.214588896927247,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,-0.3023929662984404,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.3529456056630036,0.1776880570752444,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,1.0,1.4903413298592119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.6105590417771918,2.4758776815292665,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.797693988161937,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,-1.4675060142452376,-0.5560508161330803,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,1.5718292524118322,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.3928341377064912,2.249592630679318,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,1.0,1.0,-0.9135523854430948,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.3190486958265017,-0.7742621363716934,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.46536881140368164,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8393807556031055,-0.18547540482207528,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,-1.2802480369298872,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.8359375902233568,-0.9898704505662147,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,-0.8320644628904742,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,-1.4957603911093744,-0.9181333687409043,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,-1.2802480369298872,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,-1.4841262359300238,-0.9984736061356706,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0421577558197987,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.16281861198951028,0.5390426503656528,1.0,0.0,0.0,0.0,1.0,0.0,0.0
